Video#,Comments,Language,General evaluation,Aspect(s) of evaluation,Quotes,Notes
1,Is it just me or does Wendy sounds like an actual disney princess especially when she was talking to Sidney,1,Off-topic,,,
1,"people saying “she’s canadian, what do you expect?” don’t realise how hard it is to learn a new language when you’re completely alone in a new environment. if you studied in korea for 6 years would you consider yourself korean? i have friends who studied in another country for 4 years of university and they still have not mastered the country’s language. all in all, learning a new language is not easy, let alone speak fluently. wendy can speak english, korean, spanish and french fluently and nobody should discount her talent/smartness just because she stayed in canada/usa for 6 years.",1,Off-topic,"*Metalinguistic comments 
From a perspective of SLA ",,
1,"Wendy sounds like a princess, sings like a Queen, and lives like an Angel. How even-",1,Off-topic,,,
1,"웬디 미모, 가창력, 인성, 딕션 완벽해서 치인다

T: Wendy's beauty, singing, personality, and diction are perfect",2,a,,"Wendy's beauty, singing, personality, and diction are perfect",*diction is commonly used as an expression for pronunciation in Korea.
1,"웬디 영어할 때 너무 멋있다 미국 드라마 나오는 깜찍하고 야무진 주인공같아ㅠㅠ 웬디야 사랑해 얼른 나아서 무대하자

T: Wendy is so cool when she speaks English. She looks like a cute and tough main character from an American drama. I love you, Wendy. Let's get better and perform",2,a,a,,
1,her english voice is sooo smooth. very calming. I love it.. she's so pure. my wendy :D,1,a,a,her english voice is sooo smooth,
1,"Her english is beautiful, her visual is beautiful, her voice is beautiful, most especially her heart is so beautiful  she's not a human, she's an angel",1,a,a,,
1,"Wendy needs to do a korean voiceover for a disney movie, her voice is so soothing and beautiful like when she speaks she is like a disney princess",1,Off-topic,,,
1,"Whenever she speaks english, she sounds like a disney princess",1,a,a,"Whenever she speaks english, she sounds like a disney princess",
1,"I admire her. She's very articulate and witty no doubt she is intelligent, how much more if she has a degree..we love our wendyand I find her voice very sexy when she speaks in English",1,a,"a
SP", I find her voice very sexy when she speaks in English,
1,"Wendy is so perfect, she's an angel. Her smile can be calming, her aura is very positive.",1,Off-topic,,,
1,She is very nice and very kind Also very smart and talented  I love Wendy so much,1,Off-topic,,,
1,Wendy unnie is so perfect she is so talented and her personality is so beautiful,1,Off-topic,,,
1,Her voice and pronunciation is so good! Very cute as well :),1,a,,Her voice and pronunciation is so good!,
1,"Wendy is that one girl who is great in everything.  Edit: holy smokes, this is the most likes I’ve ever gotten! Tysm!",1,Off-topic,,,
1,"Wendy is so nice, kind, supportive, genuine, gorgeous, beautiful, and the list just keeps going on! She is the perfect disney princess at this point!",1,Off-topic,,,
1,Singing + Dancing + Intellect + Visual + Good Heart = W.E.N.D.Y,1,Off-topic,,,
